Date : 2025-06-08 21:28:26
Directory : c:\Users\sd23097\Desktop\Tirobot_works
Total : 207 files,  2714782 codes, 8153 comments, 22258 blanks, all 2745193 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| XML      |         11 |  1,622,521 |          0 |     13,143 |  1,635,664 |
| Database |          1 |    780,147 |          0 |      4,016 |    784,163 |
| HTML     |          1 |    294,572 |          0 |         72 |    294,644 |
| C++      |        131 |     13,818 |      7,815 |      4,412 |     26,045 |
| C        |         10 |      1,816 |        164 |        191 |      2,171 |
| Python   |         22 |        737 |        174 |        329 |      1,240 |
| JSON     |          6 |        683 |          0 |          1 |        684 |
| CMake    |          6 |        253 |          0 |         50 |        303 |
| YAML     |          7 |        130 |          0 |         15 |        145 |
| Markdown |         10 |         97 |          0 |         27 |        124 |
| Ini      |          2 |          8 |          0 |          2 |         10 |
+----------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                   |        207 |  2,714,782 |      8,153 |     22,258 |  2,745,193 |
| . (Files)                                                                                                                           |          1 |          3 |          0 |          0 |          3 |
| AnormallyDetect                                                                                                                     |         12 |        478 |        134 |        268 |        880 |
| AnormallyDetect\python                                                                                                              |         12 |        478 |        134 |        268 |        880 |
| GCI                                                                                                                                 |          2 |    780,148 |          0 |      4,016 |    784,164 |
| KantoNatu2023                                                                                                                       |          7 |        386 |        102 |        112 |        600 |
| KantoNatu2023 (Files)                                                                                                               |          1 |        146 |         54 |         55 |        255 |
| KantoNatu2023\kantonatsurobo2023_omni-main                                                                                          |          6 |        240 |         48 |         57 |        345 |
| NHK2024                                                                                                                             |         75 |  1,625,468 |        108 |     13,751 |  1,639,327 |
| NHK2024\NHK_R1                                                                                                                      |          6 |        639 |         24 |        109 |        772 |
| NHK2024\NHK_rad_pid                                                                                                                 |          8 |        374 |         22 |         74 |        470 |
| NHK2024\NHK_rpm_pid                                                                                                                 |          6 |        254 |         18 |         61 |        333 |
| NHK2024\gakurobo-ws-master                                                                                                          |         55 |  1,624,201 |         44 |     13,507 |  1,637,752 |
| NHK2024\gakurobo-ws-master (Files)                                                                                                  |          1 |         20 |          0 |          7 |         27 |
| NHK2024\gakurobo-ws-master\src                                                                                                      |         54 |  1,624,181 |         44 |     13,500 |  1,637,725 |
| NHK2024\gakurobo-ws-master\src\ball_camera                                                                                          |         12 |  1,622,600 |          0 |     13,156 |  1,635,756 |
| NHK2024\gakurobo-ws-master\src\ball_camera (Files)                                                                                  |          4 |         56 |          0 |         13 |         69 |
| NHK2024\gakurobo-ws-master\src\ball_camera\ball_camera                                                                              |          2 |        108 |          0 |         25 |        133 |
| NHK2024\gakurobo-ws-master\src\ball_camera\config                                                                                   |          1 |         10 |          0 |          1 |         11 |
| NHK2024\gakurobo-ws-master\src\ball_camera\launch                                                                                   |          1 |         36 |          0 |          7 |         43 |
| NHK2024\gakurobo-ws-master\src\ball_camera\models                                                                                   |          4 |  1,622,390 |          0 |     13,110 |  1,635,500 |
| NHK2024\gakurobo-ws-master\src\ball_camera_msgs                                                                                     |          2 |         42 |          0 |         11 |         53 |
| NHK2024\gakurobo-ws-master\src\detector                                                                                             |         14 |        769 |          4 |        159 |        932 |
| NHK2024\gakurobo-ws-master\src\detector (Files)                                                                                     |          2 |        104 |          0 |         20 |        124 |
| NHK2024\gakurobo-ws-master\src\detector\config                                                                                      |          1 |         17 |          0 |          2 |         19 |
| NHK2024\gakurobo-ws-master\src\detector\include                                                                                     |          4 |        118 |          0 |         40 |        158 |
| NHK2024\gakurobo-ws-master\src\detector\include\detector                                                                            |          4 |        118 |          0 |         40 |        158 |
| NHK2024\gakurobo-ws-master\src\detector\src                                                                                         |          7 |        530 |          4 |         97 |        631 |
| NHK2024\gakurobo-ws-master\src\detector\src (Files)                                                                                 |          4 |        506 |          4 |         88 |        598 |
| NHK2024\gakurobo-ws-master\src\detector\src\nodes                                                                                   |          3 |         24 |          0 |          9 |         33 |
| NHK2024\gakurobo-ws-master\src\launch_bundle                                                                                        |          6 |        125 |          0 |         21 |        146 |
| NHK2024\gakurobo-ws-master\src\launch_bundle (Files)                                                                                |          2 |         40 |          0 |         10 |         50 |
| NHK2024\gakurobo-ws-master\src\launch_bundle\config                                                                                 |          3 |         49 |          0 |          4 |         53 |
| NHK2024\gakurobo-ws-master\src\launch_bundle\launch                                                                                 |          1 |         36 |          0 |          7 |         43 |
| NHK2024\gakurobo-ws-master\src\lidar_controller                                                                                     |          8 |        108 |         40 |         29 |        177 |
| NHK2024\gakurobo-ws-master\src\lidar_controller (Files)                                                                             |          3 |         43 |          0 |          7 |         50 |
| NHK2024\gakurobo-ws-master\src\lidar_controller\lidar_controller                                                                    |          2 |         41 |          0 |         10 |         51 |
| NHK2024\gakurobo-ws-master\src\lidar_controller\test                                                                                |          3 |         24 |         40 |         12 |         76 |
| NHK2024\gakurobo-ws-master\src\merger                                                                                               |          5 |        254 |          0 |         58 |        312 |
| NHK2024\gakurobo-ws-master\src\merger (Files)                                                                                       |          2 |         66 |          0 |         13 |         79 |
| NHK2024\gakurobo-ws-master\src\merger\config                                                                                        |          1 |         18 |          0 |          1 |         19 |
| NHK2024\gakurobo-ws-master\src\merger\include                                                                                       |          1 |         53 |          0 |         11 |         64 |
| NHK2024\gakurobo-ws-master\src\merger\include\merger                                                                                |          1 |         53 |          0 |         11 |         64 |
| NHK2024\gakurobo-ws-master\src\merger\src                                                                                           |          1 |        117 |          0 |         33 |        150 |
| NHK2024\gakurobo-ws-master\src\obstacle_msgs                                                                                        |          2 |         45 |          0 |         11 |         56 |
| NHK2024\gakurobo-ws-master\src\serial_bridge                                                                                        |          5 |        238 |          0 |         55 |        293 |
| NHK2024\gakurobo-ws-master\src\serial_bridge (Files)                                                                                |          2 |         57 |          0 |         13 |         70 |
| NHK2024\gakurobo-ws-master\src\serial_bridge\arduino                                                                                |          1 |         48 |          0 |         13 |         61 |
| NHK2024\gakurobo-ws-master\src\serial_bridge\include                                                                                |          1 |         49 |          0 |         13 |         62 |
| NHK2024\gakurobo-ws-master\src\serial_bridge\include\serial_bridge                                                                  |          1 |         49 |          0 |         13 |         62 |
| NHK2024\gakurobo-ws-master\src\serial_bridge\src                                                                                    |          1 |         84 |          0 |         16 |        100 |
| Training                                                                                                                            |          5 |        215 |         15 |         72 |        302 |
| Training\BunaiRobocon                                                                                                               |          1 |         39 |          0 |          8 |         47 |
| Training\Intro                                                                                                                      |          4 |        176 |         15 |         64 |        255 |
| Training\Intro (Files)                                                                                                              |          1 |         11 |          0 |          3 |         14 |
| Training\Intro\main                                                                                                                 |          3 |        165 |         15 |         61 |        241 |
| WRO2017                                                                                                                             |         99 |     12,830 |      7,794 |      3,966 |     24,590 |
| WRO2017\Lego-20250607T115704Z-1-001                                                                                                 |         99 |     12,830 |      7,794 |      3,966 |     24,590 |
| WRO2017\Lego-20250607T115704Z-1-001\Lego                                                                                            |         99 |     12,830 |      7,794 |      3,966 |     24,590 |
| WRO2017\Lego-20250607T115704Z-1-001\Lego (Files)                                                                                    |          3 |      1,431 |        112 |        130 |      1,673 |
| WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017                                                                               |         91 |     10,726 |      7,591 |      3,716 |     22,033 |
| WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017 (Files)                                                                       |         10 |        916 |         56 |        179 |      1,151 |
| WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\drivers                                                                       |         81 |      9,810 |      7,535 |      3,537 |     20,882 |
| WRO2017\Lego-20250607T115704Z-1-001\Lego\無題のフォルダ                                                                                    |          5 |        673 |         91 |        120 |        884 |
| competition2                                                                                                                        |          2 |        679 |          0 |          1 |        680 |
| kaggle                                                                                                                              |          4 |    294,575 |          0 |         72 |    294,647 |
| kaggle\house price                                                                                                                  |          3 |    294,574 |          0 |         72 |    294,646 |
| kaggle\house price (Files)                                                                                                          |          2 |          2 |          0 |          0 |          2 |
| kaggle\house price\house-prices-advanced-regression-techniques                                                                      |          1 |    294,572 |          0 |         72 |    294,644 |
| kaggle\titanic                                                                                                                      |          1 |          1 |          0 |          0 |          1 |
+-------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                                            | language | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| c:\Users\sd23097\Desktop\Tirobot_works\AnormallyDetect\python\AutoEncoder1.py                                                       | Python   |         27 |          0 |         11 |         38 |
| c:\Users\sd23097\Desktop\Tirobot_works\AnormallyDetect\python\AutoEncoder2.py                                                       | Python   |         27 |          0 |          9 |         36 |
| c:\Users\sd23097\Desktop\Tirobot_works\AnormallyDetect\python\Detect_AE.py                                                          | Python   |         28 |         14 |         25 |         67 |
| c:\Users\sd23097\Desktop\Tirobot_works\AnormallyDetect\python\Detect_PCA.py                                                         | Python   |         23 |         16 |         20 |         59 |
| c:\Users\sd23097\Desktop\Tirobot_works\AnormallyDetect\python\Encoder.py                                                            | Python   |         11 |         24 |         19 |         54 |
| c:\Users\sd23097\Desktop\Tirobot_works\AnormallyDetect\python\PCA1.py                                                               | Python   |         11 |          0 |          8 |         19 |
| c:\Users\sd23097\Desktop\Tirobot_works\AnormallyDetect\python\PCA2.py                                                               | Python   |         11 |          0 |          8 |         19 |
| c:\Users\sd23097\Desktop\Tirobot_works\AnormallyDetect\python\Preprocess1.py                                                        | Python   |         82 |          0 |         43 |        125 |
| c:\Users\sd23097\Desktop\Tirobot_works\AnormallyDetect\python\mvtest.py                                                             | Python   |        131 |         62 |         63 |        256 |
| c:\Users\sd23097\Desktop\Tirobot_works\AnormallyDetect\python\mvtest2.py                                                            | Python   |         88 |         14 |         40 |        142 |
| c:\Users\sd23097\Desktop\Tirobot_works\AnormallyDetect\python\preprocess2.py                                                        | Python   |         33 |          4 |         19 |         56 |
| c:\Users\sd23097\Desktop\Tirobot_works\AnormallyDetect\python\supertest.py                                                          | Python   |          6 |          0 |          3 |          9 |
| c:\Users\sd23097\Desktop\Tirobot_works\GCI\telecom.ipynb                                                                            | JSON     |          1 |          0 |          0 |          1 |
| c:\Users\sd23097\Desktop\Tirobot_works\GCI\telecom.sqlite3                                                                          | Database |    780,147 |          0 |      4,016 |    784,163 |
| c:\Users\sd23097\Desktop\Tirobot_works\KantoNatu2023\kantonatsurobo2023_omni-main\PID.cpp                                           | C++      |         34 |          0 |          6 |         40 |
| c:\Users\sd23097\Desktop\Tirobot_works\KantoNatu2023\kantonatsurobo2023_omni-main\PID.h                                             | C++      |         18 |          0 |          3 |         21 |
| c:\Users\sd23097\Desktop\Tirobot_works\KantoNatu2023\kantonatsurobo2023_omni-main\README.md                                         | Markdown |          3 |          0 |          1 |          4 |
