"filename", "language", "C++", "Markdown", "C", "PostCSS", "Python", "Batch", "HTML", "JSON", "PowerShell", "JavaScript", "XML", "pip requirements", "Properties", "Database", "CMake", "YAML", "Ini", "comment", "blank", "total"
"c:\Users\sd23097\Desktop\Tirobot_works\AnormallyDetect\python\AutoEncoder1.py", "Python", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 38
"c:\Users\sd23097\Desktop\Tirobot_works\AnormallyDetect\python\AutoEncoder2.py", "Python", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 36
"c:\Users\sd23097\Desktop\Tirobot_works\AnormallyDetect\python\Detect_AE.py", "Python", 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 25, 67
"c:\Users\sd23097\Desktop\Tirobot_works\AnormallyDetect\python\Detect_PCA.py", "Python", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 20, 59
"c:\Users\sd23097\Desktop\Tirobot_works\AnormallyDetect\python\Encoder.py", "Python", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 19, 54
"c:\Users\sd23097\Desktop\Tirobot_works\AnormallyDetect\python\PCA1.py", "Python", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 19
"c:\Users\sd23097\Desktop\Tirobot_works\AnormallyDetect\python\PCA2.py", "Python", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 19
"c:\Users\sd23097\Desktop\Tirobot_works\AnormallyDetect\python\Preprocess1.py", "Python", 0, 0, 0, 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 125
"c:\Users\sd23097\Desktop\Tirobot_works\AnormallyDetect\python\mvtest.py", "Python", 0, 0, 0, 0, 131, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 63, 256
"c:\Users\sd23097\Desktop\Tirobot_works\AnormallyDetect\python\mvtest2.py", "Python", 0, 0, 0, 0, 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 40, 142
