Date : 2025-06-08 21:38:57
Directory : c:\Users\sd23097\Desktop\Tirobot_works
Total : 332 files,  2722909 codes, 9189 comments, 23798 blanks, all 2755896 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| XML              |         12 |  1,622,784 |          1 |     13,145 |  1,635,930 |
| Database         |          2 |    781,275 |          0 |      4,108 |    785,383 |
| HTML             |         16 |    295,339 |         31 |        211 |    295,581 |
| C++              |        131 |     13,818 |      7,815 |      4,412 |     26,045 |
| Python           |         91 |      2,886 |        576 |        851 |      4,313 |
| JavaScript       |         13 |      2,172 |        204 |        503 |      2,879 |
| C                |         10 |      1,816 |        164 |        191 |      2,171 |
| PostCSS          |         10 |      1,237 |         37 |        229 |      1,503 |
| JSON             |         17 |        768 |          0 |          1 |        769 |
| CMake            |          6 |        253 |          0 |         50 |        303 |
| pip requirements |          1 |        173 |          0 |          0 |        173 |
| YAML             |          7 |        130 |          0 |         15 |        145 |
| PowerShell       |          1 |        108 |        360 |         35 |        503 |
| Markdown         |         10 |         97 |          0 |         27 |        124 |
| Batch            |          2 |         40 |          1 |         17 |         58 |
| Ini              |          2 |          8 |          0 |          2 |         10 |
| Properties       |          1 |          5 |          0 |          1 |          6 |
+------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                     | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                        |        332 |  2,722,909 |      9,189 |     23,798 |  2,755,896 |
| . (Files)                                                                                                                                |          1 |          3 |          0 |          0 |          3 |
| AnormallyDetect                                                                                                                          |         12 |        478 |        134 |        268 |        880 |
| AnormallyDetect\python                                                                                                                   |         12 |        478 |        134 |        268 |        880 |
| GCI                                                                                                                                      |          2 |    780,148 |          0 |      4,016 |    784,164 |
| KantoNatu2023                                                                                                                            |          7 |        386 |        102 |        112 |        600 |
| KantoNatu2023 (Files)                                                                                                                    |          1 |        146 |         54 |         55 |        255 |
| KantoNatu2023\kantonatsurobo2023_omni-main                                                                                               |          6 |        240 |         48 |         57 |        345 |
| NHK2024                                                                                                                                  |         75 |  1,625,468 |        108 |     13,751 |  1,639,327 |
| NHK2024\NHK_R1                                                                                                                           |          6 |        639 |         24 |        109 |        772 |
| NHK2024\NHK_rad_pid                                                                                                                      |          8 |        374 |         22 |         74 |        470 |
| NHK2024\NHK_rpm_pid                                                                                                                      |          6 |        254 |         18 |         61 |        333 |
| NHK2024\gakurobo-ws-master                                                                                                               |         55 |  1,624,201 |         44 |     13,507 |  1,637,752 |
| NHK2024\gakurobo-ws-master (Files)                                                                                                       |          1 |         20 |          0 |          7 |         27 |
| NHK2024\gakurobo-ws-master\src                                                                                                           |         54 |  1,624,181 |         44 |     13,500 |  1,637,725 |
| NHK2024\gakurobo-ws-master\src\ball_camera                                                                                               |         12 |  1,622,600 |          0 |     13,156 |  1,635,756 |
| NHK2024\gakurobo-ws-master\src\ball_camera (Files)                                                                                       |          4 |         56 |          0 |         13 |         69 |
| NHK2024\gakurobo-ws-master\src\ball_camera\ball_camera                                                                                   |          2 |        108 |          0 |         25 |        133 |
| NHK2024\gakurobo-ws-master\src\ball_camera\config                                                                                        |          1 |         10 |          0 |          1 |         11 |
| NHK2024\gakurobo-ws-master\src\ball_camera\launch                                                                                        |          1 |         36 |          0 |          7 |         43 |
| NHK2024\gakurobo-ws-master\src\ball_camera\models                                                                                        |          4 |  1,622,390 |          0 |     13,110 |  1,635,500 |
| NHK2024\gakurobo-ws-master\src\ball_camera_msgs                                                                                          |          2 |         42 |          0 |         11 |         53 |
| NHK2024\gakurobo-ws-master\src\detector                                                                                                  |         14 |        769 |          4 |        159 |        932 |
| NHK2024\gakurobo-ws-master\src\detector (Files)                                                                                          |          2 |        104 |          0 |         20 |        124 |
| NHK2024\gakurobo-ws-master\src\detector\config                                                                                           |          1 |         17 |          0 |          2 |         19 |
| NHK2024\gakurobo-ws-master\src\detector\include                                                                                          |          4 |        118 |          0 |         40 |        158 |
| NHK2024\gakurobo-ws-master\src\detector\include\detector                                                                                 |          4 |        118 |          0 |         40 |        158 |
| NHK2024\gakurobo-ws-master\src\detector\src                                                                                              |          7 |        530 |          4 |         97 |        631 |
| NHK2024\gakurobo-ws-master\src\detector\src (Files)                                                                                      |          4 |        506 |          4 |         88 |        598 |
| NHK2024\gakurobo-ws-master\src\detector\src\nodes                                                                                        |          3 |         24 |          0 |          9 |         33 |
| NHK2024\gakurobo-ws-master\src\launch_bundle                                                                                             |          6 |        125 |          0 |         21 |        146 |
| NHK2024\gakurobo-ws-master\src\launch_bundle (Files)                                                                                     |          2 |         40 |          0 |         10 |         50 |
| NHK2024\gakurobo-ws-master\src\launch_bundle\config                                                                                      |          3 |         49 |          0 |          4 |         53 |
| NHK2024\gakurobo-ws-master\src\launch_bundle\launch                                                                                      |          1 |         36 |          0 |          7 |         43 |
| NHK2024\gakurobo-ws-master\src\lidar_controller                                                                                          |          8 |        108 |         40 |         29 |        177 |
| NHK2024\gakurobo-ws-master\src\lidar_controller (Files)                                                                                  |          3 |         43 |          0 |          7 |         50 |
| NHK2024\gakurobo-ws-master\src\lidar_controller\lidar_controller                                                                         |          2 |         41 |          0 |         10 |         51 |
| NHK2024\gakurobo-ws-master\src\lidar_controller\test                                                                                     |          3 |         24 |         40 |         12 |         76 |
| NHK2024\gakurobo-ws-master\src\merger                                                                                                    |          5 |        254 |          0 |         58 |        312 |
